condition	GO_enrichment	concord	compound	SGTC_ID	SGTC_ID.BP	signature	type	drug
NIBR_4455:200uM	NIBR_4455:200uM	no GO enrichment							4455
NIBR_4456:200uM	NIBR_4456:200uM	no GO enrichment							4456
NIBR_4409:25uM	NIBR_4409:25uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4409_25_NIBR_0155_2019-09-16-18-27-27_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4409_25_NIBR_0155</a>	0.41	3013-0144	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_151>SGTC_151</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_151.BP>SGTC_151.BP</a>	iron homeostasis	major	4409
NIBR_4413:4.5uM	NIBR_4413:4.5uM	no GO enrichment							4413
NIBR_4332:400uM	NIBR_4332:400uM	no GO enrichment							4332
NIBR_4325:60uM	NIBR_4325:60uM	no GO enrichment							4325
NIBR_4325:80uM	NIBR_4325:80uM	no GO enrichment							4325
NIBR_4339:80uM	NIBR_4339:80uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4339_80_NIBR_0155_2019-09-16-18-27-37_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4339_80_NIBR_0155</a>	0.38	k017-0060	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_289>SGTC_289</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_289.BP>SGTC_289.BP</a>	50	minor	4339
NIBR_4344:90uM	NIBR_4344:90uM	no GO enrichment							4344
NIBR_4411:90uM	NIBR_4411:90uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4411_90_NIBR_0155_2019-09-16-18-27-43_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4411_90_NIBR_0155</a>	0.43	4012297	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2009>SGTC_2009</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2009.BP>SGTC_2009.BP</a>	cell wall signaling	major	4411
UBC_0155-0182:31.79uM	UBC_0155-0182:31.79uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_0155-0182A_2019-09-16-18-27-46_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_0155-0182A</a>	0.94	6420625	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2183>SGTC_2183</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2183.BP>SGTC_2183.BP</a>	mitochondrial processes	major	0155-0182
UBC_0155-0182:15.9uM	UBC_0155-0182:15.9uM	no GO enrichment							0155-0182
NIBR_4858:0.1uM	NIBR_4858:0.1uM	no GO enrichment							4858
NIBR_4858:0.5uM	NIBR_4858:0.5uM	no GO enrichment							4858
NIBR_4904:0.5uM	NIBR_4904:0.5uM	no GO enrichment							4904
NIBR_4431:1.5uM	NIBR_4431:1.5uM	no GO enrichment							4431
NIBR_4904:1.5uM	NIBR_4904:1.5uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4904_1.5_NIBR_0157_2019-09-16-18-28-02_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4904_1.5_NIBR_0157</a>	0.97	5474540	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2467>SGTC_2467</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2467.BP>SGTC_2467.BP</a>		unique	4904
NIBR_208:10uM	NIBR_208:10uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=208_10_NIBR_0157_2019-09-16-18-28-04_fdrThresh_0.1_MCL_HyperG_withNonEnrich>208_10_NIBR_0157</a>	0.46	gliotoxin	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_391>SGTC_391</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_391.BP>SGTC_391.BP</a>			208
NIBR_4887:100uM	NIBR_4887:100uM	no GO enrichment							4887
NIBR_4850:12uM	NIBR_4850:12uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4850_12_NIBR_0157_2019-09-16-18-28-10_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4850_12_NIBR_0157</a>	0.27	5578692	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2139>SGTC_2139</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2139.BP>SGTC_2139.BP</a>	superoxide	major	4850
NIBR_4847:125uM	NIBR_4847:125uM	no GO enrichment							4847
NIBR_4441:14uM	NIBR_4441:14uM	no GO enrichment							4441
NIBR_4903:150uM	NIBR_4903:150uM	no GO enrichment							4903
NIBR_4861:2uM	NIBR_4861:2uM	no GO enrichment							4861
NIBR_4733:200uM	NIBR_4733:200uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4733_200_NIBR_0157_2019-09-16-18-28-21_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4733_200_NIBR_0157</a>	0.14	9110464	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_3186>SGTC_3186</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_3186.BP>SGTC_3186.BP</a>	RPP1 & pyrimidine depletion	major	4733
NIBR_4796:200uM	NIBR_4796:200uM	no GO enrichment							4796
NIBR_4848:200uM	NIBR_4848:200uM	no GO enrichment							4848
NIBR_4857:200uM	NIBR_4857:200uM	no GO enrichment							4857
NIBR_4888:200uM	NIBR_4888:200uM	no GO enrichment							4888
NIBR_4950:200uM	NIBR_4950:200uM	no GO enrichment							4950
NIBR_4438:22uM	NIBR_4438:22uM	no GO enrichment							4438
NIBR_4440:25uM	NIBR_4440:25uM	no GO enrichment							4440
NIBR_4851:26uM	NIBR_4851:26uM	no GO enrichment							4851
NIBR_4870:3.5uM	NIBR_4870:3.5uM	no GO enrichment							4870
NIBR_4307:300uM	NIBR_4307:300uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4307_300_NIBR_0157_2019-09-16-18-28-44_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4307_300_NIBR_0157</a>	0.53	nsc-64875	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_254>SGTC_254</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_254.BP>SGTC_254.BP</a>	ergosterol depletion effects on membrane	major	4307
NIBR_4890:35uM	NIBR_4890:35uM	no GO enrichment							4890
NIBR_4307:400uM	NIBR_4307:400uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4307_400_NIBR_0157_2019-09-16-18-28-48_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4307_400_NIBR_0157</a>	0.55	mebhydrolin	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2697>SGTC_2697</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2697.BP>SGTC_2697.BP</a>	NEO1	major	4307
NIBR_4886:50uM	NIBR_4886:50uM	no GO enrichment							4886
NIBR_4859:7.5uM	NIBR_4859:7.5uM	no GO enrichment							4859
NIBR_4283:0.01uM	NIBR_4283:0.01uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4283_0.01_NIBR_0159_2019-09-16-18-28-56_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4283_0.01_NIBR_0159</a>	0.8	st057645	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1864>SGTC_1864</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1864.BP>SGTC_1864.BP</a>	amide catabolism	major	4283
NIBR_4677:10uM	NIBR_4677:10uM	no GO enrichment							4677
NIBR_3311:12uM	NIBR_3311:12uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=3311_12_NIBR_0159_2019-09-16-18-29-00_fdrThresh_0.1_MCL_HyperG_withNonEnrich>3311_12_NIBR_0159</a>	0.21	k064-0027	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_558>SGTC_558</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_558.BP>SGTC_558.BP</a>	DNA damage response	major	3311
NIBR_4702:12uM	NIBR_4702:12uM	no GO enrichment							4702
NIBR_4663:120uM	NIBR_4663:120uM	no GO enrichment							4663
NIBR_4802:15uM	NIBR_4802:15uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4802_15_NIBR_0159_2019-09-16-18-29-06_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4802_15_NIBR_0159</a>	0.23	wortmannin	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1877>SGTC_1877</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1877.BP>SGTC_1877.BP</a>	4	minor	4802
NIBR_413:150uM	NIBR_413:150uM	no GO enrichment							413
NIBR_3311:20uM	NIBR_3311:20uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=3311_20_NIBR_0159_2019-09-16-18-29-12_fdrThresh_0.1_MCL_HyperG_withNonEnrich>3311_20_NIBR_0159</a>	0.27	0329-0193	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_52>SGTC_52</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_52.BP>SGTC_52.BP</a>	TSC3-RPN4	major	3311
NIBR_4679:20uM	NIBR_4679:20uM	no GO enrichment							4679
NIBR_413:200uM	NIBR_413:200uM	no GO enrichment							413
NIBR_3646:3uM	NIBR_3646:3uM	no GO enrichment							3646
NIBR_4685:30uM	NIBR_4685:30uM	no GO enrichment							4685
NIBR_4703:40uM	NIBR_4703:40uM	no GO enrichment							4703
NIBR_4953:40uM	NIBR_4953:40uM	no GO enrichment							4953
NIBR_4684:50uM	NIBR_4684:50uM	no GO enrichment							4684
NIBR_4675:6uM	NIBR_4675:6uM	no GO enrichment							4675
NIBR_4802:6uM	NIBR_4802:6uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4802_6_NIBR_0159_2019-09-16-18-29-32_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4802_6_NIBR_0159</a>	0.23	wortmannin	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1877>SGTC_1877</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1877.BP>SGTC_1877.BP</a>	4	minor	4802
NIBR_4935:70uM	NIBR_4935:70uM	no GO enrichment							4935
NIBR_4605:75uM	NIBR_4605:75uM	no GO enrichment							4605
NIBR_4687:8uM	NIBR_4687:8uM	no GO enrichment							4687
UBC_0159-0055:9uM	UBC_0159-0055:9uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_0159-0055_2019-09-16-18-29-42_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_0159-0055</a>	0.67	9128781	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_3211>SGTC_3211</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_3211.BP>SGTC_3211.BP</a>		unique	0159-0055
UBC_0159-0059:199.01uM	UBC_0159-0059:199.01uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=UBC_0159-0059_2019-09-16-18-29-46_fdrThresh_0.1_MCL_HyperG_withNonEnrich>UBC_0159-0059</a>	0.79	0159-0059	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_75>SGTC_75</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_75.BP>SGTC_75.BP</a>	fatty acid desaturase (OLE1)	major	0159-0059
UBC_0159-0065:512.24uM	UBC_0159-0065:512.24uM	no GO enrichment							0159-0065
NIBR_4140:1uM	NIBR_4140:1uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4140_1_NIBR_0161_2019-09-16-18-29-51_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4140_1_NIBR_0161</a>	0.35	9066192	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2996>SGTC_2996</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2996.BP>SGTC_2996.BP</a>		unique	4140
NIBR_2358:10uM	NIBR_2358:10uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=2358_10_NIBR_0161_2019-09-16-18-29-53_fdrThresh_0.1_MCL_HyperG_withNonEnrich>2358_10_NIBR_0161</a>	0.42	4469-0003	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_152>SGTC_152</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_152.BP>SGTC_152.BP</a>	19	minor	2358
NIBR_4664:100uM	NIBR_4664:100uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4664_100_NIBR_0161_2019-09-16-18-29-56_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4664_100_NIBR_0161</a>	0.61	5569715	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2153>SGTC_2153</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2153.BP>SGTC_2153.BP</a>	iron homeostasis	major	4664
NIBR_4973:100uM	NIBR_4973:100uM	no GO enrichment							4973
NIBR_5148:105uM	NIBR_5148:105uM	no GO enrichment							5148
NIBR_4216:110uM	NIBR_4216:110uM	no GO enrichment							4216
NIBR_4650:12uM	NIBR_4650:12uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4650_12_NIBR_0161_2019-09-16-18-30-05_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4650_12_NIBR_0161</a>	0.31	7971671	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2297>SGTC_2297</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2297.BP>SGTC_2297.BP</a>	RNA processing & uracil transport	major	4650
NIBR_4973:125uM	NIBR_4973:125uM	no GO enrichment							4973
NIBR_5136:125uM	NIBR_5136:125uM	no GO enrichment							5136
NIBR_5148:150uM	NIBR_5148:150uM	no GO enrichment							5148
NIBR_4579:155uM	NIBR_4579:155uM	no GO enrichment							4579
NIBR_4936:180uM	NIBR_4936:180uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4936_180_NIBR_0161_2019-09-16-18-30-15_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4936_180_NIBR_0161</a>	0.48	0916-0002	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_888>SGTC_888</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_888.BP>SGTC_888.BP</a>	NEO1	major	4936
NIBR_4140:2uM	NIBR_4140:2uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4140_2_NIBR_0161_2019-09-16-18-30-17_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4140_2_NIBR_0161</a>	0.35	0870-0863	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_90>SGTC_90</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_90.BP>SGTC_90.BP</a>	38	minor	4140
NIBR_3347:200uM	NIBR_3347:200uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=3347_200_NIBR_0161_2019-09-16-18-30-21_fdrThresh_0.1_MCL_HyperG_withNonEnrich>3347_200_NIBR_0161</a>	0.64	0092-0002	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_9>SGTC_9</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_9.BP>SGTC_9.BP</a>		unique	3347
NIBR_4582:200uM	NIBR_4582:200uM	no GO enrichment							4582
NIBR_5135:200uM	NIBR_5135:200uM	no GO enrichment							5135
NIBR_5137:200uM	NIBR_5137:200uM	no GO enrichment							5137
NIBR_5138:200uM	NIBR_5138:200uM	no GO enrichment							5138
NIBR_5144:200uM	NIBR_5144:200uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=5144_200_NIBR_0161_2019-09-16-18-30-31_fdrThresh_0.1_MCL_HyperG_withNonEnrich>5144_200_NIBR_0161</a>	0.39	sophoraflavanone G	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1951>SGTC_1951</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1951.BP>SGTC_1951.BP</a>	RNA processing & uracil transport	major	5144
NIBR_5151:27uM	NIBR_5151:27uM	no GO enrichment							5151
NIBR_4784:3uM	NIBR_4784:3uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4784_3_NIBR_0161_2019-09-16-18-30-35_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4784_3_NIBR_0161</a>	0.2	wortmannin	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1877>SGTC_1877</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1877.BP>SGTC_1877.BP</a>	4	minor	4784
NIBR_3960:30uM	NIBR_3960:30uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=3960_30_NIBR_0161_2019-09-16-18-30-37_fdrThresh_0.1_MCL_HyperG_withNonEnrich>3960_30_NIBR_0161</a>	0.19	2324-0395	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_383>SGTC_383</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_383.BP>SGTC_383.BP</a>	azole & statin	major	3960
NIBR_5151:35uM	NIBR_5151:35uM	no GO enrichment							5151
NIBR_4402:55uM	NIBR_4402:55uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4402_55_NIBR_0161_2019-09-16-18-30-42_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4402_55_NIBR_0161</a>	0.43	0986-0246	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_584>SGTC_584</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_584.BP>SGTC_584.BP</a>	heme requiring	major	4402
NIBR_4609:55uM	NIBR_4609:55uM	no GO enrichment							4609
NIBR_4554:6uM	NIBR_4554:6uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4554_6_NIBR_0161_2019-09-16-18-30-47_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4554_6_NIBR_0161</a>	0.57	st070080	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1571>SGTC_1571</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1571.BP>SGTC_1571.BP</a>	197	minor	4554
NIBR_4595:6uM	NIBR_4595:6uM	no GO enrichment							4595
NIBR_4784:7uM	NIBR_4784:7uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4784_7_NIBR_0161_2019-09-16-18-30-51_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4784_7_NIBR_0161</a>	0.23	3448-8650	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_146>SGTC_146</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_146.BP>SGTC_146.BP</a>	NEO1-PIK1	major	4784
NIBR_4668:70uM	NIBR_4668:70uM	no GO enrichment							4668
NIBR_4655:8uM	NIBR_4655:8uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4655_8_NIBR_0161_2019-09-16-18-30-57_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4655_8_NIBR_0161</a>	0.49	k072-0108	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_623>SGTC_623</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_623.BP>SGTC_623.BP</a>	heme biosynthesis & mitochondrial translocase	major	4655
NIBR_4585:85uM	NIBR_4585:85uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4585_85_NIBR_0161_2019-09-16-18-30-59_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4585_85_NIBR_0161</a>	0.44	7959871	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2810>SGTC_2810</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2810.BP>SGTC_2810.BP</a>	copper-dependent oxidative stress	major	4585
NIBR_4080:0.05uM	NIBR_4080:0.05uM	no GO enrichment							4080
NIBR_4080:0.1uM	NIBR_4080:0.1uM	no GO enrichment							4080
NIBR_4080:0.5uM	NIBR_4080:0.5uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4080_0.5_NIBR_0164_2019-09-16-18-31-05_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4080_0.5_NIBR_0164</a>	0.98	piperonyl butoxide	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_414>SGTC_414</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_414.BP>SGTC_414.BP</a>	176	minor	4080
NIBR_3697|B:0.8uM	NIBR_3697|B:0.8uM	no GO enrichment							3697
NIBR_4080:1uM	NIBR_4080:1uM	no GO enrichment							4080
NIBR_4286:1uM	NIBR_4286:1uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4286_1_NIBR_0164_2019-09-16-18-31-12_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4286_1_NIBR_0164</a>	0.93	1403-0014	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_1188>SGTC_1188</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_1188.BP>SGTC_1188.BP</a>	mitochondrial stress	major	4286
NIBR_4982:1.5uM	NIBR_4982:1.5uM	no GO enrichment							4982
NIBR_4276:10uM	NIBR_4276:10uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4276_10_NIBR_0164_2019-09-16-18-31-18_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4276_10_NIBR_0164</a>	0.74	mitomycin C	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_2677>SGTC_2677</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_2677.BP>SGTC_2677.BP</a>	DNA damage response	major	4276
NIBR_5170:10uM	NIBR_5170:10uM	no GO enrichment							5170
NIBR_4705:100uM	NIBR_4705:100uM	no GO enrichment							4705
NIBR_4654:120uM	NIBR_4654:120uM	no GO enrichment							4654
NIBR_3486:14uM	NIBR_3486:14uM	no GO enrichment							3486
NIBR_4469:160uM	NIBR_4469:160uM	no GO enrichment							4469
NIBR_4798:2.5uM	NIBR_4798:2.5uM	<a href=http://chemogenomics.pharmacy.ubc.ca/ycs/enmaphg.php?d=labusers_xgmml&exp=4798_2.5_NIBR_0164_2019-09-16-18-31-31_fdrThresh_0.1_MCL_HyperG_withNonEnrich>4798_2.5_NIBR_0164</a>	0.39	9110464	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/index.php?f=&q=SGTC_3186>SGTC_3186</a>	<a href=http://chemogenomics.pharmacy.ubc.ca/hiphop/enmaphg.php?d=MPv12.110818eP3SDfilter&exp=SGTC_3186.BP>SGTC_3186.BP</a>	RPP1 & pyrimidine depletion	major	4798
